"isolate","Host.binomial.name","Host.genus","Locality","Longitude","Latitude","Lo","La"
"AG0004","Oryza sativa","Oryza","Lucas Norte, Entre Rios, Argentina","-58.8333282","-31.4833298","58 ° 49 ' 59.98 "" W","31 ° 28 ' 59.99 "" S"
"Arcadia","Setaria viridis","Setaria","Lexington, KY, USA","-84.50164","38.047989","84 ° 30 ' 5.9 "" W","38 ° 2 ' 52.76 "" N"
"B2","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065","63 ° 32 ' 57.83 "" W","16 ° 17 ' 1.34 "" S"
"B71","Triticum aestivum","Triticum","Bolivia","-63.5493965","-16.2837065","63 ° 32 ' 57.83 "" W","16 ° 17 ' 1.34 "" S"
"Bd8401","Brachiaria distachya","Brachiaria","Philippines","122.6217542","11.6978352","122 ° 37 ' 18.32 "" E","11 ° 41 ' 52.21 "" N"
"BdBar","Triticum aestivum","Triticum","Barisal, Bangladesh","90.3666652","22.6999972","90 ° 21 ' 59.99 "" E","22 ° 41 ' 59.99 "" N"
"BF0072","Oryza sativa","Oryza","Pankatioro, Burkina Faso","-1.53388","12.36566","1 ° 32 ' 1.97 "" W","12 ° 21 ' 56.38 "" N"
"Bm88324","Brachiaria mutica","Brachiaria","Philippines","122.6217542","11.6978352","122 ° 37 ' 18.32 "" E","11 ° 41 ' 52.21 "" N"
"BN0019","Oryza sativa","Oryza","Malanville, Benin","3.38327","11.86819","3 ° 22 ' 59.77 "" E","11 ° 52 ' 5.48 "" N"
"BN0119","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988","2 ° 25 ' 59.99 "" E","11 ° 17 ' 60 "" N"
"BN0123","Oryza sativa","Oryza","Kokey-Banikoara, Benin","2.4333316","11.2999988","2 ° 25 ' 59.99 "" E","11 ° 17 ' 60 "" N"
"BN0202","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308","1 ° 42 ' 59.99 "" E","6 ° 37 ' 59.99 "" N"
"BN0252","Oryza sativa","Oryza","Lokossa, Benin","1.7166638","6.6333308","1 ° 42 ' 59.99 "" E","6 ° 37 ' 59.99 "" N"
"Br7","Triticum aestivum","Triticum","Parana, Brazil","-51.1732073","-23.29273","51 ° 10 ' 23.55 "" W","23 ° 17 ' 33.83 "" S"
"Br80","Triticum aestivum","Triticum","Brazil","-53.1805017","-14.2400732","53 ° 10 ' 49.81 "" W","14 ° 14 ' 24.26 "" S"
"CD0065","Oryza sativa","Oryza","San Pedro, Ivory Coast","-6.636497454","4.75083033","6 ° 38 ' 11.39 "" W","4 ° 45 ' 2.99 "" N"
"CD0142","Oryza sativa","Oryza","Odienne, Ivory Coast","-7.5666644","9.5166646","7 ° 33 ' 59.99 "" W","9 ° 30 ' 59.99 "" N"
"CH0043","Oryza sativa","Oryza","Yunnan, China","101.5",25,"101 ° 30 ' 0 "" E","25 ° 0 ' 0 "" N"
"CH0072","Oryza sativa","Oryza","Madjong, Yunnan, China","101.5",25,"101 ° 30 ' 0 "" E","25 ° 0 ' 0 "" N"
"CH0452","Oryza sativa","Oryza","Simao, Yunnan, China","100.97166278","22.775163566","100 ° 58 ' 17.99 "" E","22 ° 46 ' 30.59 "" N"
"CH0461","Oryza sativa","Oryza","Simao, Yunnan, China","100.97166278","22.775163566","100 ° 58 ' 17.99 "" E","22 ° 46 ' 30.59 "" N"
"CH0533","Oryza sativa","Oryza","Baoshan, Yunnan, China","99.166666","25.1166662","99 ° 9 ' 60 "" E","25 ° 6 ' 60 "" N"
"CH1103","Oryza sativa","Oryza","Yule, Yunnan, China","101.5",25,"101 ° 30 ' 0 "" E","25 ° 0 ' 0 "" N"
"CH1164","Oryza sativa","Oryza","Yule, Yunnan, China","101.5",25,"101 ° 30 ' 0 "" E","25 ° 0 ' 0 "" N"
"CHRF","Lolium perenne","Lolium","Silver Spring, MD, USA","-77.02609","38.99067","77 ° 1 ' 33.92 "" W","38 ° 59 ' 26.41 "" N"
"CHW","Lolium perenne","Lolium","Annapolis, MD, USA","-76.501157","38.972945","76 ° 30 ' 4.17 "" W","38 ° 58 ' 22.6 "" N"
"CM0028","Oryza sativa","Oryza","'M''Bos, Cameroon'","12.3445856","7.3696495","12 ° 20 ' 40.51 "" E","7 ° 22 ' 10.74 "" N"
"FR1067","Lolium perenne","Lolium","Stade de la Mosson, Montpellier, France","3.80721","43.6199725201","3 ° 48 ' 25.96 "" E","43 ° 37 ' 11.9 "" N"
"FR1069","Lolium perenne","Lolium","Stade de la Mosson, Montpellier, France","3.80721","43.6199725201","3 ° 48 ' 25.96 "" E","43 ° 37 ' 11.9 "" N"
"G17","Eragrostis curvula","Eragrostis","Japan","139.708997164","35.700330532","139 ° 42 ' 32.39 "" E","35 ° 42 ' 1.19 "" N"
"G22","Eleusine coracana","Eleusine","Japan","139.708997164","35.700330532","139 ° 42 ' 32.39 "" E","35 ° 42 ' 1.19 "" N"
"GFSI1-7-2","Setaria italica","Setaria","Gifu, Japan","136.756165","35.447227","136 ° 45 ' 22.19 "" E","35 ° 26 ' 50.02 "" N"
"GG11","Lolium perenne","Lolium","Lexington, KY, USA","-84.50164","38.047989","84 ° 30 ' 5.9 "" W","38 ° 2 ' 52.76 "" N"
"GN0001","Zea mays","Zea","Gabon","11.6098045","-0.8201314","11 ° 36 ' 35.3 "" E","0 ° 49 ' 12.47 "" S"
"GY0040","Oryza sativa","Oryza","Mana, Crog, French Guyana, France","-53.77828","5.66766","53 ° 46 ' 41.81 "" W","5 ° 40 ' 3.58 "" N"
"HO","Lolium perenne","Lolium","Richmond, PA, USA","-80.009833294","41.750163666","80 ° 0 ' 35.4 "" W","41 ° 45 ' 0.59 "" N"
"IA1","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999","92 ° 11 ' 59.99 "" W","34 ° 47 ' 60 "" N"
"IB33","Oryza sativa","Oryza","Texas, USA",-100,31,"100 ° 0 ' 0 "" W","31 ° 0 ' 0 "" N"
"IB49","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999","92 ° 11 ' 59.99 "" W","34 ° 47 ' 60 "" N"
"IC17","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999","92 ° 11 ' 59.99 "" W","34 ° 47 ' 60 "" N"
"IE1K","Oryza sativa","Oryza","Arkansas, USA","-92.199997","34.799999","92 ° 11 ' 59.99 "" W","34 ° 47 ' 60 "" N"
"IN0017","Oryza sativa","Oryza","India","82.7792201","21.1289956","82 ° 46 ' 45.19 "" E","21 ° 7 ' 44.38 "" N"
"IN0054","Oryza sativa","Oryza","India","82.7792201","21.1289956","82 ° 46 ' 45.19 "" E","21 ° 7 ' 44.38 "" N"
"IN0059","Oryza sativa","Oryza","India","82.7792201","21.1289956","82 ° 46 ' 45.19 "" E","21 ° 7 ' 44.38 "" N"
"IN0114","Oryza sativa","Oryza","Bandrakoti, India","72.840556","19.054444","72 ° 50 ' 26 "" E","19 ° 3 ' 16 "" N"
"IN0115","Oryza sativa","Oryza","Matli, India","78.3824161","30.7403976","78 ° 22 ' 56.7 "" E","30 ° 44 ' 25.43 "" N"
"IN0116","Oryza sativa","Oryza","Matli, India","78.3824161","30.7403976","78 ° 22 ' 56.7 "" E","30 ° 44 ' 25.43 "" N"
"INA168","Oryza sativa","Oryza","Aichi, Japan","136.9833294","35.083333","136 ° 58 ' 59.99 "" E","35 ° 4 ' 60 "" N"
"IR00102","Echinochloa sp.","Echinochloa","Azadshahr, Golestan, Iran","55.17397","37.08701","55 ° 10 ' 26.29 "" E","37 ° 5 ' 13.24 "" N"
"IR0013","Zea mays","Zea","Gharakhil, Mazandaran, Iran","52.33333","36.25","52 ° 19 ' 59.99 "" E","36 ° 15 ' 0 "" N"
"IR0015","Zea mays","Zea","Gharakhil, Mazandaran, Iran","52.33333","36.25","52 ° 19 ' 59.99 "" E","36 ° 15 ' 0 "" N"
"IR0083","Echinochloa sp.","Echinochloa","Agh Ghala, Golestan, Iran","54.45","37.0167","54 ° 27 ' 0 "" E","37 ° 1 ' 0.12 "" N"
"IR0084","Echinochloa sp.","Echinochloa","Agh Ghala, Golestan, Iran","54.45","37.0167","54 ° 27 ' 0 "" E","37 ° 1 ' 0.12 "" N"
"IR0088","Echinochloa sp.","Echinochloa","Agh Ghala, Golestan, Iran","54.45","37.0167","54 ° 27 ' 0 "" E","37 ° 1 ' 0.12 "" N"
"IR0095","Zea mays","Zea","Agh Ghala, Golestan, Iran","54.45","37.0167","54 ° 27 ' 0 "" E","37 ° 1 ' 0.12 "" N"
"IT0010","Oryza sativa","Oryza","Veneria, Italy","7.63136","45.12597","7 ° 37 ' 52.9 "" E","45 ° 7 ' 33.49 "" N"
"JP0091","Setaria viridis","Setaria","Siga, Japan","136.13333","35.21667","136 ° 7 ' 59.99 "" E","35 ° 13 ' 0.01 "" N"
"LpKY97","Lolium perenne","Lolium","Lexington, KY, USA","-84.50164","38.047989","84 ° 30 ' 5.9 "" W","38 ° 2 ' 52.76 "" N"
"ML0060","Oryza sativa","Oryza","Sikasso, Mali","-5.66654","11.31755","5 ° 39 ' 59.54 "" W","11 ° 19 ' 3.18 "" N"
"ML0062","Oryza sativa","Oryza","Sikasso, Mali","-5.66654","11.31755","5 ° 39 ' 59.54 "" W","11 ° 19 ' 3.18 "" N"
"ML33","Oryza sativa","Oryza","Mali","-3.9861092","17.5739347","3 ° 59 ' 9.99 "" W","17 ° 34 ' 26.16 "" N"
"NG0012","Oryza sativa","Oryza","Edozhigi, Nigeria","5.8517","9.1025","5 ° 51 ' 6.12 "" E","9 ° 6 ' 9 "" N"
"NG0054","Oryza sativa","Oryza","Ibadan, Nigeria","3.939786","7.376736","3 ° 56 ' 23.23 "" E","7 ° 22 ' 36.25 "" N"
"NP0058","Oryza sativa","Oryza","Kathmandu, Nepal","85.3206","27.70169","85 ° 19 ' 14.16 "" E","27 ° 42 ' 6.08 "" N"
"P28","Bromus tectorum","Bromus","Paraguay","-57.63591","-25.30066","57 ° 38 ' 9.28 "" W","25 ° 18 ' 2.38 "" S"
"P29","Bromus tectorum","Bromus","Paraguay","-57.63591","-25.30066","57 ° 38 ' 9.28 "" W","25 ° 18 ' 2.38 "" S"
"P3","Triticum durum","Triticum","Canindeyu, Paraguay","-55.221208270713","-24.232921564385","55 ° 13 ' 16.35 "" W","24 ° 13 ' 58.52 "" S"
"Pg1213-22","Festuca arundinaceum","Festuca","Georgia, USA","-83.441162","33.247875","83 ° 26 ' 28.18 "" W","33 ° 14 ' 52.35 "" N"
"PgKY","Lolium perenne","Lolium","Lexington, KY, USA","-84.50164","38.047989","84 ° 30 ' 5.9 "" W","38 ° 2 ' 52.76 "" N"
"PGPA","Lolium perenne","Lolium","Pennsylvania, USA","-76.88442","40.2737","76 ° 53 ' 3.91 "" W","40 ° 16 ' 25.32 "" N"
"PH42","Eleusine indica","Eleusine","Philippines","122.6217542","11.6978352","122 ° 37 ' 18.32 "" E","11 ° 41 ' 52.21 "" N"
"PL2-1","Lolium multiflorum","Lolium","Pulaski Co., KY, USA","-92.3118","34.76993","92 ° 18 ' 42.48 "" W","34 ° 46 ' 11.75 "" N"
"SSFL02","Stenotaphrum secundatum","Stenotaphrum","Disney World, FL, USA","-81.57533","28.417831662","81 ° 34 ' 31.19 "" W","28 ° 25 ' 4.19 "" N"
"SSFL14-3","Stenotaphrum secundatum","Stenotaphrum","New Smyrna, FL, USA","-80.925307","29.030563","80 ° 55 ' 31.11 "" W","29 ° 1 ' 50.03 "" N"
"T25","Triticum aestivum","Triticum","Parana, Brazil","-51.1732073","-23.29273","51 ° 10 ' 23.55 "" W","23 ° 17 ' 33.83 "" S"
"TG0004","Oryza sativa","Oryza","Elavayo, Togo","0.8325041","8.6259267","0 ° 49 ' 57.01 "" E","8 ° 37 ' 33.34 "" N"
"TG0032","Oryza sativa","Oryza","Elavayo, Togo","0.8325041","8.6259267","0 ° 49 ' 57.01 "" E","8 ° 37 ' 33.34 "" N"
"TN0001","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TN0002","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TN0050","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TN0057","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TN0065","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TN0090","Oryza sativa","Oryza","Tanzania","34.8924826","-6.3728253","34 ° 53 ' 32.94 "" E","6 ° 22 ' 22.17 "" S"
"TR0025","Oryza sativa","Oryza","Turkey","35.240741","38.9573415","35 ° 14 ' 26.67 "" E","38 ° 57 ' 26.43 "" N"
"US0041","Oryza sativa","Oryza","Mississippi, USA",-90,33,"90 ° 0 ' 0 "" W","33 ° 0 ' 0 "" N"
"US0064","Setaria sp.","Setaria","Maryland, USA","-76.81775","39.09205","76 ° 49 ' 3.9 "" W","39 ° 5 ' 31.38 "" N"
"VT0027","Oryza sativa","Oryza","Phu Ly, Vietnam","105.91221","20.54531","105 ° 54 ' 43.96 "" E","20 ° 32 ' 43.12 "" N"
"VT0030","Oryza sativa","Oryza","KimBang, Hanam, Vietnam","105.85","20.583","105 ° 50 ' 60 "" E","20 ° 34 ' 58.8 "" N"
"Z2-1","Eleusine coracana","Eleusine","Kagawa, Japan","133.9499962","34.2666656","133 ° 56 ' 59.99 "" E","34 ° 15 ' 60 "" N"
